REGISTRO,INMUEBLE,AYUNTAMIENTO,LOCALIDAD,DATE,YEAR
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Ermita Sto. Cristo,Tiebas,Muruarte de Reta ,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Sta. Eufemia,Tiebas,,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Pedro,Unciti ,,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Martin,Unciti,Artaiz ,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Sta. Maria,Unciti,Alzorriz ,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia La Visitacion,Unciti,Cemborain,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Sto. Tomas,Unciti,Najurieta ,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Solar 329 m2,Unciti,Najurieta ,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Lorenzo,Unciti,Zabalceta,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Andres,Unciti,Zoroquiain ,02/03/2004,2004
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia S. Adrian,Oroz Betelu ,,02/05/2003,2003
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Parroquia Sta. Engracia,Uztarroz ,,02/05/2003,2003
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia La Asunción,Abárzuza ,,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parroquia S. Juan Bautista,Aberin ,,02/05/2005,2005
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Parraquia La Asunción,Aberin ,Muniain ,02/05/2005,2005
