REGISTRO,AYUNTAMIENTO,DATE,INMUEBLE,LOCALIDAD,YEAR,latitude,longitude
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Zuñiga ,01/04/2000, Finca nº 147 concentración parcelaria,,2000.0,42.6930374,-2.3004117
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Zuñiga ,01/04/2000,Huerta camino de las huertas,,2000.0,42.6930374,-2.3004117
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Goñi ,01/04/2004,Parroquia San Andrés 01/04/2004,,2004.0,42.8513933,-1.9038781
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Goñi ,01/04/2004,Parroquia San Antonio y San Quiriaco,,2004.0,42.8513933,-1.9038781
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Goñi ,01/04/2004,Parroquia la Expectación,Munárriz  ,2004.0,42.8164666,-1.8983193
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Goñi ,01/04/2004,Parroquia San Román,Urdanoz,2004.0,42.8252209,-1.8847345
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Goñi ,01/04/2004,Parroquia San Martín,Azanza,2004.0,42.8273254,-1.8575769
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Los Arcos,01/04/2004,Terreno secano nº 119 Concentración Parc.,,2004.0,42.569785,-2.1929119
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Los Arcos,01/04/2004,Finca nº 1119 Concentración Parcelaria,,2004.0,42.569785,-2.1929119
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Lerga ,01/10/2001,Ermita Sta. Barbara,,2001.0,42.5677782,-1.4999336
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Roncal – Isaba ,01/10/2001,Ermita Sra. De Belen,,2001.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Oteiza y Baigorri,01/12/1998,Terreno nº 12 A,,1998.0,,
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,San Adrian ,01/12/1998,Parroquia,,1998.0,42.332844,-1.9337322
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Torralba del Rio ,02/02/2002,Parroquia Santa María,,2002.0,42.6084653,-2.3316332
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Torres del Río ,02/02/2002,Parroquia Santa María,,2002.0,42.5517496,-2.2713225
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Torres del Río ,02/02/2002,Santo Sepulcro,,2002.0,42.5517496,-2.2713225
REGISTRO DE LA PROPIEDAD DE ESTELLA/LIZARRA Nº .1.,Ganuza,02/02/2005,Parroquia Santa Eulalia,Metauten ,2005.0,,
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Aranguren,02/03/2004,Solar bilabakoiz nº 10 A,Labiano ,2004.0,42.7572151,-1.5481538
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Aranguren,02/03/2004,Parroquia La Purificacion,Labiano ,2004.0,42.7572151,-1.5481538
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Aranguren,02/03/2004,Parroquia S. Emeterio,Tajonar ,2004.0,42.7690499,-1.6100399
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Aranguren,02/03/2004,Parroquia S. Esteban ,Zolina ,2004.0,42.7678682,-1.5845373
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Aranguren,02/03/2004,Finca en Labereku,Zolina,2004.0,42.7678682,-1.5845373
REGISTRO DE LA PROPIEDAD DE AOIZ/AGOITZ,Egües,02/03/2004,Parroquia S. Miguel,Badostain,2004.0,42.7982522,-1.5940207
